Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Clamdiggers Returning Home,Paintings,00515,,Oil on canvas,26 x 18 in,,painting; beach; ocean; woman; girl; walking; baskets
Adoration of the Three Kings,Paintings,00695,Anonymous,Oil on canvas,170 x 145 cm,17th Century,painting; veneration of three wise men to Jesus as a child; hole in lower left
"Le Quai du Louvre a Paris, sous la Neige",Paintings,00307,Edouard Cortes,Oil on canvas,13 x 18 in,1900-1910,"painting; Paris, France; street scene; signed lower right"
Mending Fences,Paintings,00106,Andrew Wyeth,Watercolor on paper,22 x 30 in,1960,signed
The Battle of Bunker Hill,Paintings,00157,Howard Pyle,Oil on canvas,23.25 x 35.5 in,Circa 1897,painting; field; soldiers; battle; war; guns; drums; British; marching
Unsaddling Cart Horses,Paintings,00078,Wouter Verschwr,Oil on panel,13.5 x 19.25 in,19th Century,painting; exterior; man; horses; dog; Signed by the artist
Kittens and Butterflies,Paintings,00836,,painting; cats; butterfly; bowl,17 x 17 in,,
Self Portrait,Paintings,00147,Charles M. Russell,Pen and ink; Watercolor,9.5 x 5 in,1900,"painting; portrait; right facing; man; standing; western; hat; boots; signed ""CM Russell"" lower left; skull and date lower center"
Green Meadows,Paintings,00953,Torvald Arnst Hoyer,Oil,29.5 x 23.5 in,1939,"painting; exterior; farm; cattle; Signed ""T. A. Hoyer 39"" lower right; inscription on verso ""143.43, 20 x 30, R7888, 45/12""; Brass tag on recto"
"Study Full Face Woman, Fox Mask Cap",Paintings,00039,Endre Szasz; Austria,Oil on wood,23 x 23 in,,painting; portrait; full face; woman; fox; Signed
Poires et Pommes | Pears and Apples,Paintings,00675,Louis Valtat,Oil on panel,5.5 x 9 in,1936,painting; still life; apples; pears; impressionism; Stamped with initials LV Inventory # (LUGT.1771BIS)
Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; Paint; Automobile hood,48 x 66 in,1997,painting; face; modern art; Small ID number on back
Martha's Vineyard Garden,Paintings,01046,Max Moran,Oil on canvas,34 x 42 in,1987-1988,
Portrait of a Girl with Black Belt,Paintings,01046,Max Moran,Oil on canvas,16 x 20 in,1987-1989,
A Quaker's Meeting,Paintings,01215,Egbert Van Heemskerk the Elder,Oil on canvas,Height: 24 in; Width: 30 7/8 in,1634-1704,"""67 MRE"" on verso of painting; Quaker; painting; oil"
Portrait of King Shoboku,Paintings,00436,"Japan; Chooan, Kobasigawa/Shougenko",,154.10 x 154.00 cm,1796,painting; Asian; man; beard; royalty; crown; figures; Okinawa
Crow,Paintings,00859,Whiting Tennis,Paint on wood and plaster,15 x 15 x 4 in,2006,
Threepenny Opera | The Theft,Paintings,00876,Arbit Blatas,Oil on canvas,121 x 171 cm,20th Century,"painting; impressionism; stage; wagon; piano; audience; men; Signed lower right ""Blatas"""
"Untitled portrait style painting, Indian with Coat",Paintings,00214,,Oil on canvas,30 x 21.5 in,,painting; Asian; portrait; left facing; coat
Shanhai,Paintings,00578,Chinese,Gouache,22 in,1850,painting; sailing ships; buildings; harbor
Essayes,Paintings,00947,John Piper,Watercolor,15.5 x 22.5 in,20th Century,
Historical Georgian Capital,Paintings,00232,Otari Shiuk; Russia,Oil on canvas,26 x 32 in,1957,painting; water; mountains; shoreline; Signed
Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; Paint; Automobile hood,60 x 48 in,1997,painting; face; religious; modern art; Small ID number on back
Spring in New Mexico,Paintings,00953,Charles Barrows,Watercolor,14 x 20 in,1936,painting; exterior; houses; trees
Self Portrait,Paintings,00995,Minas Avetisyan,Oil on canvas,22 x 22 in,1928-1975,
Lady and the Goldfish Bowl,Paintings,00502,Robert Grafton,Oil on canvas,31 x 27.5 in,1917,painting; portrait; left facing; woman; sitting; bowl; fish; Signed
Isaac Stern (Violinist),Paintings,00876,Arbit Blatas,Oil on canvas,,1988,"painting; impressionism; man; violin; musician; Signed and dated lower right ""A. Blatas"""
Aerobic Bathers,Paintings,00223,Joseph Lambert Cain,Oil on masonite,48 x 60 in,1954,
Roundel with Drummer,Paintings,00281,,Oil on panel,Panel: 16.5 x 15.25 in.,Circa 1865,painting; man; walking; drum; hat; Abraham Lincoln; Part of Lincoln's private railway car as decorative panels.
Girl With Bird in Hand,Paintings,01004,Rebecca Midwood,Acrylic on wood,24 x 48 in,1999,painting; girl; bird; Signed and dated on verso.
Barefoot Boy,Paintings,00964,A. Yukio,Oil on canvas,36 x 30 in,1900-1969,painting; boy; hat; sitting; shorts; Signed lower right
Central Park Night by Boat Pond,Paintings,01046,Max Moran,Oil on canvas,24 x 30 in,1993,Signed.
Capistrano Mission,Paintings,00964,James Merriam,Oil on canvas,40 x 30 in,1900-1955,painting; columns; mission; arches; corridor
Hombre y Mujer,Paintings,00503,Diego Rivera,Watercolor on rice paper,15 x 10.5 in,1937,"painting; portrait; Ramos Plate #23, dated '37 upper right; gold leaf frame, glazed Cf."
Fulton Fish Market,Paintings,00230,Cecil Bell,Watercolor,25 x 31 in,,painting; exterior; dock; barrel; fisherman; people; boats; fish; Signed
Untitled,Paintings,00297,Madeleine Rouart,Oil on canvas,15.5 x 20.5 in,,
"Mother and Child, Asian portrait style painting",Paintings,00214,,Oil on canvas,22 x 24 in,,painting; Asian; woman; sitting; hat; child
Saint Anthony of the Miracles,Paintings,00695,Anonymous,Oil on canvas,22 x 33 cm,18th Century,painting; woman lying in bed images of Virgin Mary and St. Antony hovering over her; message along bottom
Impressionist Landscape Painting,Paintings,00026,Yvonne Canu,Oil on canvas,21 x 24 in,20th Century,painting; French; impressionism; landscape; flowers; trees; field; sun; Signed
Still Life,Paintings,00964,John Decker,Oil on canvas,12 x 18 in,Prior to 1962,painting; still life; eggs; plate; basket; chicken
Hawaiian Surfer,Paintings,00813,Walter Lantz,Oil on masonite,11 x 14 in,1977,painting; cartoon; Woody Woodpecker; surfing; surfboard; wave; ocean; Signed lower left
City Moon,Paintings,00953,Raymond Breinin,Oil,34 x 44 in,1938,"painting; exterior; night; city; buildings; train; Signed lower left ""Breinin '38"""
The Grand Canal Venice,Paintings,00016,William James Muller,,22 x 32.5 in,,painting; water; boats; gondola; cityscape
View from Studio Window,Paintings,01046,Max Moran,Oil on panel,11 x 22 in,1982-1985,
The Wiestling Family,Paintings,00161,Jacob Maentel; American,Gouache on paper,20 5/8 x 18 in,1823,painting; American primitive; man; woman; child; standing; hat; purse; trees; Inscription on back
The Harbor,Paintings,00782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,painting; seascape; harbor; sailboat; signed Ostor Glorig on lower left; hand carved dark wood frame
San Jose y El Nino | Saint Joseph and Christ Child,Paintings,01148,Unknown,Oil on canvas,Height: 150 cm.; Width: 100 cm.,17th Century,
Catboat on Seas,Paintings,00734,Unknown,Oil,20 x 30 in,,Original ornate hand carved wood frame with gold paint; Good condition with natural varnish aging
Portrait of John Steven McGroarty,Paintings,00964,Seymour Stephen Thomas,Oil on canvas,24 x 18 in,1934,"painting; portrait; right facing; man; tie; ""John McGroarty Aug. 8, 1934"" lower right; signed lower right"
Gypsy Woman,Paintings,00730,,Oil on wood,18 x 14 in,,painting; portrait; left facing; woman; brunette; gypsy
Two Knights Hunting | Deux chasseurs,Paintings,00466,,Oil on canvas,"265 x 157 cm, frame",18th Century,"painting noblemen, dog"
HALT!,Paintings,00830,Donald Nield,Oil on canvas,30 x 52 in,1982,
Trading Post,Paintings,00699,Ted DeGrazia,Oil on canvas,6.5 x 13.5 in,1940-1960,painting; adobe; building; Native American; horses; riding; Signed lower right
Portrait of Ben Cohan,Paintings,01046,Max Moran,Oil on cardboard,20 x 24 in,1987-1988,
Franz Kline Abstract Painting,Paintings,00008,Franz Kline,Gouache collage,14.25 x 19.25 in,1947,painting; abstract art; black; yellow; Signed and dated
Cavaliers et Caleches Vers le Bois de Boulogne,Paintings,00133,Jean Dufy,Gouache,17 1/8 x 21 1/16 in,1940,"painting; Paris, France; Eiffel Tower; park; horses; carriage; people; walking; riding; Signed lower right"
Sleeping Couple,Paintings,00055,Odd Nerdrum,Oil on canvas,43.25 x 39.5 in,1991,painting; nude man; nude woman; reclining; sleeping
Morocco - Arab Market,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; figures; standing; musician; balcony; Arab; Signed lower left ""Blatas"""
British Harbor Scene II,Paintings,00926,T. H. Victor,Watercolor on paper,18 x 24 in,19th Century,painting; exterior; harbor; water; boats; Signed
The Sea Captain,Paintings,00172,Edward H Potthast,Oil on canvas,20 1/2 x 16 1/8 in,1906,"painting; portrait; signed lower left ""Potthast"", dedication on reverse to a Miss Grace Thompson"
Frau von Malapolska,Paintings,00851,Henri Brenner,Watercolor on ivory,2 7/16 x 1 11/16 in,1816,painting; snuffbox; miniature; portrait; right facing; woman; brunette; hat; Signed
Saint Anthony of the Miracles,Paintings,00695,Anonymous,Oil on canvas,25 x 36 cm,1876,"painting; woman praying to saint holding child; four line message along bottom, dated July 5, 1876"
"Untitled Abstract, Grayish Green",Paintings,01055,Raymond Turner,Silk screen inks on paper,42 x 60 in,1989,"painting, abstract art, green, gray; Signed ""Turner"" lower right"
Madonna and Child with Saints,Paintings,00674,,Oil on canvas,27 x 29 in,,
Two Amish Children with Black Dog,Paintings,01046,Max Moran,Oil on canvas,26 x 36 in,1987,
18th Century American Ship Captain,Paintings,00722,Anonymous,,,18th Century,painting
Liriodendron tulipifera,Paintings,01056,Hang Mang Ho,Watercolor and pencil on paper,Height: 23.63 in.; Width: 18 in.,1987,signed Ho Mang Hang
Broekzijker Mill in the Evening,Paintings,00005,Piet Mondrian,Oil on canvas,13.75 x 19.75 in; 35 x 50 cm,,
Exterior View Space Habitat | Giant Shuttle Arriving at Space Habitat | Space Shuttle of Tomorrow - Docking,Paintings,00324,Robert McCall,Acrylic on canvas,90 x 120 cm,1980,"painting; space; space shuttle; astronauts; Signed ""McCall"" and dated ""9,80"" in lower right corner"
Cicero,Paintings,00831,John Henry Rouson,Oil on canvas,Height: 31 in.; Width: 43 in.,1995-1999,printed signature
Mother and Child,Paintings,00200,Gregory Perillo,Oil,,20th Century,painting; portrait; woman; child; Native American
Une Poete et Une Amoureuse,Paintings,00243,Theo Tobiasse,Acrylic on paper board,28 x 36 in,20th Century,painting; Title written on painting
Untitled Yuroz Oil Painting,Paintings,00979,Yuroz,Pastel,24 x 18 in,Circa 1987,painting; modern art; man; woman; kissing; Signed lower right
Untitled Ali Golkar Painting of a Plant,Paintings,00981,Ali Golkar,Acrylic on canvas,60 x 48 in,2002,"painting; modern art; plant; Signed ""Ali"" lower left; inventory #752 on back of canvas"
Two Actors,Paintings,00828,Toyokuni I; Japan,Watercolor on paper,14 x 9 in,1769-1825,"Signature lower right with double censor seals, red publisher's mark and printer's seal."
Sacre Coeur (Sacred Heart),Paintings,00026,Elisee Maclet,Oil on canvas,24 x 18.5 in,20th Century,painting; French; street; man; standing; buildings; trees; Signed lower right
"The Grand Canal, Venice",Paintings,01121,Michele Marieschi,Oil on canvas,24 x 37.5 in,,
Abstract,Paintings,00313,Reid Stuart,Acrylic on canvas,,2014,"Heavy duty ornate wooden frame, canvas"
"Untitled Oil on Glass, Reverse Painting",Paintings,00423,,Oil on glass,18 x 18 in,,painting; religious; priest; robe; bow; reverse painting
La Sortie du Pesage,Paintings,01159,Edgar Degas,Pencil and watercolor on paper,10 x 16 cm,,painting
Gray Mood,Paintings,00548,Emanuel,Oil on canvas,16 x 24 in,1984,painting; portrait; right facing; woman; brunette; Signed
Boca Tigris 2,Paintings,00578,Chinese,Gouache,,,painting; sailing ships; harbor; hills
Flowers,Paintings,00876,Arbit Blatas,Oil on canvas,111.5 x 64 cm,20th Century,"painting; impressionism; still life; flowers; Signed lower right ""Blatas"""
Caballo,Paintings,00861,Chucho Reyes,Tempera on tissue,29.5 x 19 in,,painting; horse; signed
Circus Clown with Dog,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; man; clown; standing; dog; Signed lower left ""A. Blatas"""
Circus Street Scene,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,painting; impressionism; horse; ladder; monkey; man; standing; street; trees; Unsigned
Seated Nude,Paintings,01046,Max Moran,Oil on panel,10 x 16 in,1987-1988,
Untitled Paolo Monaldi Painting,Paintings,00038,Paolo Monaldi; Italy,Oil on canvas,12 x 16 in,18th Century,painting; interior; men; woman; bench; fire; tools; bellows; Unsigned
Jeune Femme au Chapeau Noir,Paintings,00485,Pierre Bonnard,Oil on canvas,23 1/8 x 21 7/8 in,Circa 1910,"Stamped with signature ""Bonnard"" in the upper left corner."
Il Lago di Castel Gandolfo (The Lake of Castel Gandolfo),Paintings,00180,John Newbott,Oil on canvas,42 x 62 cm,19th Century,painting; landscape; lake; water; trees; building; goat; figure; Signed lower right
Tension in the Air,Paintings,01001,Slawek Wisniewski,Oil on canvas,36 x 36 in,,"painting; landscape; desert; sand; clouds; Signed lower right ""S. Wisniewski '95"""
Stocks,Paintings,00964,Jennie Crawford,Oil on canvas,28 x 36 in,1976,painting; still life; flowers; Signed lower right
"Ship Joseph Litchfield, American Ship",Paintings,00578,Chinese,,24 x 33.5 in,Circa 1855,painting; sailing ship
Long Island Cheese Pumpkin,Paintings,00797,Todd Casey,Oil on canvas,8 x 6 in,,Two inch frame.
o.T.,Paintings,00884,Adolfo,Oil on paper,41 x 28.75 in,1994,painting; abstract art; yellow; blue; black; white; red
Anemones,Paintings,00423,Bernard Buffet,Oil on canvas,42 x 32 in,1960s,painting; still life; flowers; vase; Signed and dated along bottom of painting
Landscape with Sheep,Paintings,00928,Thomas Craig,Oil on canvas,20 x 16 in,1902,painting; landscape; sheep; trees; Signed lower right
Volcano Landscape,Paintings,00361,Geraldo Murillo,Oil on burlap,18 x 22 in,,
Untitled (Faces of God Series),Paintings,00873,Tyree Guyton,Masonite; Paint,81 x 48 in,1997,painting; face; modern art
From Inside Cabinet,Paintings,00964,Stuart J. Caswell,Collage,48.25 x 40.75 in,1965,"painting; Inscribed metal plate on frame ""Stuart J. Caswell"""
Regina Resnik,Paintings,00876,Arbit Blatas,Oil on carton,,20th Century,"painting; portrait; left facing; woman; Signed lower right ""Blatas"""
Portrait of Roommate Michael,Paintings,01046,Max Moran,Oil on panel,16 x 20 in,1988-1989,
Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; Paint; Automobile hood,48 x 66 in,1997,painting; face; modern art; Small ID number on back
Abstract Painting,Paintings,00700,Donna Gans,Acrylic on canvas,54 x 45 in,1997,painting; abstract
Nude Model Seated,Paintings,01046,Max Moran,Oil on canvas,36 x 42 in,1991-1993,Part of the Stacy Gitlin N.Y. series; signed lower left.
Stations of the Cross - 6,Paintings,00444,Ben Stahl,,9 x 6 in,1954,painting; religious; Jesus Christ; cross; crowd
Shaman with Two Children,Paintings,00455,Norval Morrisseau,Acrylic on canvas,96 x 36 in,1996,signed and framed
Unknown Ramposo Cityscape,Paintings,00016,Ramposo,Oil on canvas,20 x 24 in,,painting; street; capital; dome; buildings; people; walking; signed lower right
London Boats,Paintings,00722,William Britcher,Watercolor,24 x 30 in,,painting; landscape
La Joie,Paintings,00659,Marc Chagall,Oil on canvas,31.75 x 23.5 in,1976,painting; figure; animal; woman; Signed lower left
Paris - Louvre from Quai Voltaire,Paintings,00876,Arbit Blatas,Gouache on carton,80.00 x 113.50 cm,20th Century,"painting; impressionism; river; bridges; tree; cityscape; Signed lower right ""A. Blatas"""
Sailboats in Harbor,Paintings,00090,A. Francais,Oil on canvas,38 x 48 in,,painting; impressionism; sailboats; harbor; water; Signed lower left
Beach Scene,Paintings,00722,Anonymous,Watercolor,36 x 48 in,,painting; portrait
Railroad Tracks View from Back of Studio,Paintings,01046,Max Moran,Oil on canvas or panel,22 x 28 in,1982,Unsigned
November Snow,Paintings,00172,John E Weis,Oil on canvas,20 x 25.5 in,1920-30,painting; landscape; artist's signature on back of canvas
Bouquet de Giroflees,Paintings,,Marc Chagall,"Oil, tempura and gouache on canvas","24 x 20 in, unframed; 31 x 28 in, framed",1973,
"Untitled, Dark Landscape",Paintings,00055,,Oil on canvas,60 x 48 in,,painting; landscape; trees; river; clouds
The Sea,Paintings,00964,Tyrus Wong,Watercolor,13.5 x 29.5 in,1900-1956,painting; ocean
Wayne Cooper painting of Buffalo facing Left,Paintings,00614,Wayne Cooper,Oil on canvas,30 x 40 in,Late 20th Century,painting; buffalo; Signed lower left
Canal Light,Paintings,00809,Gerhardt Miller,Egg tempera,20.75 x 27 in,1972,painting; landscape; water; tree; lighthouse; Signed lower left
Turkey,Paintings,00859,Whiting Tennis,Oil on canvas,30 x 24 in,2010,
Jeremiah Townley Chase,Paintings,00765,Joseph Wood,Oil on wood,9.75 x 7.75 in,1819,painting; portrait; man; sitting; gray hair; books; coat; Signed; Label
